"Date", "Cases"
"2020-05-20 23:59:01", 0
"2020-05-21 23:59:01", 72
"2020-05-22 23:59:01", 367
"2020-05-23 23:59:01", 0
"2020-05-24 23:59:01", 138
"2020-05-25 23:59:01", 0
"2020-05-26 23:59:01", 30
"2020-05-27 23:59:01", 274
"2020-05-28 23:59:01", 52
"2020-05-29 23:59:02", 0
"2020-05-30 23:59:01", 355
"2020-05-31 23:59:01", 355
"2020-06-01 23:59:01", 355
"2020-06-02 23:59:01", 899
"2020-06-03 23:59:01", 988
"2020-06-04 23:59:01", 1275
"2020-06-05 23:59:01", 1317
"2020-06-06 23:59:01", 1317
"2020-06-07 23:59:01", 1389
"2020-06-08 23:59:01", 1389
"2020-06-09 23:59:01", 1918
"2020-06-10 23:59:01", 2146
"2020-06-11 23:59:01", 2146
"2020-06-12 23:59:01", 2146
"2020-06-13 23:59:01", 2146
"2020-06-14 23:59:01", 2146
"2020-06-15 23:59:01", 3014
"2020-06-16 23:59:01", 3166
"2020-06-17 23:59:01", 3166
"2020-06-18 23:59:01", 3736
"2020-06-19 23:59:01", 3736
"2020-06-20 23:59:01", 3870
"2020-06-21 23:59:01", 3870
"2020-06-22 23:59:01", 5417
"2020-06-23 23:59:01", 5417
"2020-06-24 23:59:01", 5487
"2020-06-25 23:59:01", 6165
"2020-06-26 23:59:01", 6587
"2020-06-27 23:59:01", 7048
"2020-06-28 23:59:01", 7048
"2020-06-29 23:59:01", 7048
