"Date", "Cases"
"2020-05-21 23:59:01", 72
"2020-05-22 23:59:01", 367
"2020-05-24 23:59:01", 138
"2020-05-26 23:59:01", 30
"2020-05-27 23:59:01", 274
"2020-05-28 23:59:01", 52
"2020-05-30 23:59:01", 355
"2020-06-02 23:59:01", 544
"2020-06-03 23:59:01", 89
"2020-06-04 23:59:01", 287
"2020-06-05 23:59:01", 42
"2020-06-07 23:59:01", 72
"2020-06-09 23:59:01", 529
"2020-06-10 23:59:01", 228
"2020-06-15 23:59:01", 868
"2020-06-16 23:59:01", 152
"2020-06-18 23:59:01", 570
"2020-06-20 23:59:01", 134
"2020-06-22 23:59:01", 1547
"2020-06-24 23:59:01", 35
"2020-06-25 23:59:01", 678
"2020-06-26 23:59:01", 422
"2020-06-27 23:59:01", 461
